full_name,owner,name,url,description,homepage,language,topics,stars,forks,license,archived,created_at,pushed_at,matched_topics
K-Dense-AI/scientific-agent-skills,K-Dense-AI,scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide. 165 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",https://arxiv.org/abs/2609.00065,Python,agent-skills; ai-scientist; bioinformatics; chemoinformatics; claude; claude-skills; claudecode; clinical-research,44661,4049,MIT,False,2025-10-19,2026-09-12,drug-discovery
NVIDIA/DeepLearningExamples,NVIDIA,DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,,Jupyter Notebook,computer-vision; deep-learning; drug-discovery; forecasting; large-language-models; mxnet; nlp; paddlepaddle,14843,3409,,False,2018-05-02,2024-08-12,drug-discovery
deepchem/deepchem,deepchem,deepchem,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",https://deepchem.io/,Python,biology; deep-learning; drug-discovery; hacktoberfest; materials-science; quantum-chemistry,6990,2308,MIT,False,2015-09-24,2026-08-20,drug-discovery
biopython/biopython,biopython,biopython,https://github.com/biopython/biopython,Official git repository for Biopython (originally converted from CVS),http://biopython.org/,Python,bioinformatics; biopython; dna; genomics; phylogenetics; protein; protein-structure; python,5193,1950,NOASSERTION,False,2009-03-15,2026-09-04,protein-structure
jwohlwend/boltz,jwohlwend,boltz,https://github.com/jwohlwend/boltz,Official repository for the Boltz biomolecular interaction models,,Python,binding-prediction; drug-discovery; protein-structure,4204,894,MIT,False,2024-11-17,2026-05-29,drug-discovery; protein-structure
rdkit/rdkit,rdkit,rdkit,https://github.com/rdkit/rdkit,The official sources for the RDKit library,,HTML,c-plus-plus; cheminformatics; python; rdkit,3586,1060,BSD-3-Clause,False,2013-05-12,2026-09-12,cheminformatics
aqlaboratory/openfold,aqlaboratory,openfold,https://github.com/aqlaboratory/openfold,"Trainable, memory-efficient, and GPU-friendly PyTorch reproduction of AlphaFold 2",,Python,alphafold2; protein-structure; pytorch,3426,689,Apache-2.0,False,2021-09-14,2025-12-16,protein-structure
lammps/lammps,lammps,lammps,https://github.com/lammps/lammps,Public development project of the LAMMPS MD software package,https://www.lammps.org,C++,kokkos; lammps; molecular-dynamics; simulation,3054,2041,GPL-2.0,False,2013-08-09,2026-09-12,molecular-dynamics
sokrypton/ColabFold,sokrypton,ColabFold,https://github.com/sokrypton/ColabFold,Making Protein folding accessible to all!,,Jupyter Notebook,bioinformatics; multiple-sequence-alignment; protein-structure; structure-prediction,2913,743,MIT,False,2021-07-19,2026-08-28,protein-structure
chemprop/chemprop,chemprop,chemprop,https://github.com/chemprop/chemprop,Message Passing Neural Networks for Molecule Property Prediction,https://chemprop.csail.mit.edu,Python,chemistry; drug-discovery; machine-learning; neural-networks,2463,757,NOASSERTION,False,2019-01-25,2026-09-01,drug-discovery
deepmodeling/deepmd-kit,deepmodeling,deepmd-kit,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics,https://docs.deepmodeling.com/projects/deepmd/,Python,ase; c; computational-chemistry; cpp; cuda; deep-learning; deepmd; ipi,2036,649,LGPL-3.0,False,2017-12-12,2026-09-12,computational-chemistry; molecular-dynamics
Peldom/papers_for_protein_design_using_DL,Peldom,papers_for_protein_design_using_DL,https://github.com/Peldom/papers_for_protein_design_using_DL,List of papers about Proteins Design using Deep Learning,,,deep-learning; protein-design,1973,220,GPL-3.0,False,2021-11-25,2026-08-15,protein-design
openmm/openmm,openmm,openmm,https://github.com/openmm/openmm,OpenMM is a toolkit for molecular simulation using high performance GPU code.,,C++,molecular-dynamics; simulation,1968,635,,False,2013-05-20,2026-09-11,molecular-dynamics
MDAnalysis/mdanalysis,MDAnalysis,mdanalysis,https://github.com/MDAnalysis/mdanalysis,MDAnalysis is a Python library to analyze molecular dynamics simulations.,https://mdanalysis.org,Python,computational-chemistry; mdanalysis; molecular-dynamics; molecular-dynamics-simulation; molecular-simulation; python; science; trajectory-analysis,1646,858,NOASSERTION,False,2015-04-04,2026-09-03,computational-chemistry; molecular-dynamics
DeepGraphLearning/torchdrug,DeepGraphLearning,torchdrug,https://github.com/DeepGraphLearning/torchdrug,A powerful and flexible machine learning platform for drug discovery,https://torchdrug.ai/,Python,deep-learning; drug-discovery; graph-neural-networks; pytorch,1587,222,Apache-2.0,False,2021-08-10,2024-08-12,drug-discovery
lmmentel/awesome-python-chemistry,lmmentel,awesome-python-chemistry,https://github.com/lmmentel/awesome-python-chemistry,A curated list of Python packages related to chemistry,,,atomistic-simulations; chemistry; computational-chemistry; molecular-dynamics; python-chemistry; quantum-chemistry; simulation,1440,233,NOASSERTION,False,2017-01-30,2025-09-21,computational-chemistry; molecular-dynamics
openbabel/openbabel,openbabel,openbabel,https://github.com/openbabel/openbabel,Open Babel is a chemical toolbox designed to speak the many languages of chemical data.,http://openbabel.org/,C++,c-plus-plus; chemical-data; chemical-toolbox; cheminformatics; chemistry,1383,488,GPL-2.0,False,2008-12-26,2026-08-18,cheminformatics
BradyAJohnston/MolecularNodes,BradyAJohnston,MolecularNodes,https://github.com/BradyAJohnston/MolecularNodes,"Toolbox for molecular animations in Blender, powered by Geometry Nodes.",https://bradyajohnston.github.io/MolecularNodes/,Python,3d-visualization; biochemistry; blender; blender-addon; mmcif; molecular; molecular-dynamics; molecular-graphics,1358,127,GPL-3.0,False,2022-04-25,2026-09-12,molecular-dynamics; molecular-modeling; protein-structure
steineggerlab/foldseek,steineggerlab,foldseek,https://github.com/steineggerlab/foldseek,Foldseek enables fast and sensitive comparisons of large structure sets.,https://foldseek.com,C,alignments; bioinformatics; clustering; protein-structure,1291,157,GPL-3.0,False,2019-01-21,2026-09-09,protein-structure
mims-harvard/TDC,mims-harvard,TDC,https://github.com/mims-harvard/TDC,Therapeutics Commons (TDC): Multimodal Foundation for Therapeutic Science,https://tdcommons.ai,Jupyter Notebook,artificial-intelligence; benchmarks; bioinformatics; biology; biomedicine; biotech; cheminformatics; chemistry,1281,223,MIT,False,2020-09-17,2025-07-13,cheminformatics; drug-discovery
psi4/psi4,psi4,psi4,https://github.com/psi4/psi4,Open-Source Quantum Chemistry – an electronic structure package in C++ driven by Python,http://psicode.org,C++,c-plus-plus; chemistry; computational-chemistry; physics; python; quantum-chemistry,1221,512,LGPL-3.0,False,2013-04-02,2026-09-12,computational-chemistry
K-Dense-AI/k-dense-byok,K-Dense-AI,k-dense-byok,https://github.com/K-Dense-AI/k-dense-byok,An AI co-scientist running on your desktop. Claude Science but better.,https://k-dense.ai,TypeScript,agentic-ai; ai-agent; ai-assistant; bioinformatics; byok; drug-discovery; google-adk; litellm,1205,150,MIT,False,2026-03-19,2026-09-11,drug-discovery
a-r-j/graphein,a-r-j,graphein,https://github.com/a-r-j/graphein,Protein Graph Library,https://graphein.ai/,Jupyter Notebook,bioinformatics; computational-biology; deep-learning; dgl; drug-discovery; gene-regulatory-networks; geometric-deep-learning; graph-neural-networks,1192,142,MIT,False,2019-08-28,2026-09-12,drug-discovery; protein-design; protein-structure
kexinhuang12345/DeepPurpose,kexinhuang12345,DeepPurpose,https://github.com/kexinhuang12345/DeepPurpose,"A Deep Learning Toolkit for DTI, Drug Property, PPI, DDI, Protein Function Prediction (Bioinformatics)",https://doi.org/10.1093/bioinformatics/btaa1005,Jupyter Notebook,bioinformatics; covid19; ddi; deep-learning; drug-discovery; drug-drug-interaction; drug-property-prediction; drug-repurposing,1187,306,BSD-3-Clause,False,2020-03-19,2024-06-10,drug-discovery; qsar; virtual-screening
lightaime/deep_gcns_torch,lightaime,deep_gcns_torch,https://github.com/lightaime/deep_gcns_torch,"Pytorch Repo for DeepGCNs (ICCV'2019 Oral, TPAMI'2021), DeeperGCN (arXiv'2020) and GNN1000(ICML'2021): https://www.deepgcns.org",,Python,3d-point-clouds; bioinformatics; cheminformatics; computer-vision; data-mining; deep-gcns; deep-learning; geometric-deep-learning,1187,153,MIT,False,2019-07-30,2022-07-31,cheminformatics
deepmodeling/Uni-Mol,deepmodeling,Uni-Mol,https://github.com/deepmodeling/Uni-Mol,Official Repository for the Uni-Mol Series Methods,,Python,deep-learning; molecular-modeling; pre-trained-model; pretraining,1160,181,MIT,False,2022-05-22,2025-05-29,molecular-modeling
PaddlePaddle/PaddleHelix,PaddlePaddle,PaddleHelix,https://github.com/PaddlePaddle/PaddleHelix,Bio-Computing Platform Featuring Large-Scale Representation Learning and Multi-Task Deep Learning “螺旋桨”生物计算工具集,,Python,biocomputing; ddi; deeplearning; dti; graph-networks; machine-learning; molecule-design; ppi,1121,227,NOASSERTION,False,2020-11-21,2026-03-31,protein-design
scipipe/scipipe,scipipe,scipipe,https://github.com/scipipe/scipipe,"Robust, flexible and resource-efficient pipelines using Go and the commandline",https://scipipe.org,Go,bioinformatics; bioinformatics-pipeline; cheminformatics; dataflow; fbp; go; golang; pipeline,1109,73,MIT,False,2015-03-07,2024-08-14,cheminformatics
FoldingAtHome/coronavirus,FoldingAtHome,coronavirus,https://github.com/FoldingAtHome/coronavirus,Folding@home COVID-19 efforts,https://foldingathome.org,Python,covid-19; folding-at-home; foldingathome; molecular-dynamics; sars-cov-2,1079,78,,False,2020-01-30,2020-10-27,molecular-dynamics
HannesStark/boltzgen,HannesStark,boltzgen,https://github.com/HannesStark/boltzgen,BoltzGen: Toward Universal Binder Design,https://boltz.bio/boltzgen,Jupyter Notebook,antibody-design; antibody-engineering; denovo-design; drug-design; drug-discovery; miniprotein-design; nanobody-design; peptide-design,1056,253,MIT,False,2025-10-26,2026-05-28,drug-discovery
3dmol/3Dmol.js,3dmol,3Dmol.js,https://github.com/3dmol/3Dmol.js,WebGL accelerated JavaScript molecular graphics library,https://3dmol.org/,Jupyter Notebook,computational-biology; computational-chemistry; molecular-graphics; molecular-modeling,1018,227,NOASSERTION,False,2014-10-02,2026-09-12,computational-chemistry; molecular-modeling
molecularsets/moses,molecularsets,moses,https://github.com/molecularsets/moses,Molecular Sets (MOSES): A Benchmarking Platform for Molecular Generation Models,https://arxiv.org/abs/1811.12823,Python,benchmark; drug-discovery; generative-models; machine-learning,988,280,MIT,False,2018-11-28,2024-07-08,drug-discovery
gnina/gnina,gnina,gnina,https://github.com/gnina/gnina,A deep learning framework for molecular docking,,C++,cheminformatics; computational-chemistry; convolutional-neural-networks; drug-discovery; molecular-modeling,973,213,Apache-2.0,False,2015-11-04,2026-06-29,cheminformatics; computational-chemistry; drug-discovery; molecular-modeling
mir-group/nequip,mir-group,nequip,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials,https://pubs.rsc.org/en/content/articlehtml/2026/dd/d5dd00423c,Python,atomistic-simulations; computational-chemistry; deep-learning; drug-discovery; force-fields; interatomic-potentials; machine-learning; materials-science,961,214,MIT,False,2021-03-15,2026-09-01,computational-chemistry; drug-discovery; molecular-dynamics
atomistic-machine-learning/schnetpack,atomistic-machine-learning,schnetpack,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems,,Python,condensed-matter; machine-learning; molecular-dynamics; neural-network; quantum-chemistry,940,251,NOASSERTION,False,2018-09-03,2026-08-25,molecular-dynamics
aqlaboratory/proteinnet,aqlaboratory,proteinnet,https://github.com/aqlaboratory/proteinnet,Standardized data set for machine learning of protein structure,,Python,dataset; deep-learning; machine-learning; protein-sequence; protein-structure; proteins,919,137,MIT,False,2018-03-10,2020-11-18,protein-structure
